Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|SargassoSea_READ_00146726	125759	95.39	1e-127	Bacteria; Proteobacteria; Gammaproteobacteria; sulfur-oxidizing symbionts; Unclassified; otu_3394
2|SargassoSea_READ_00190597	68992	99.28	3e-153	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
3|SargassoSea_READ_00083981	234175	99.63	2e-150	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
4|SargassoSea_READ_00254753	5645	95.26	1e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
5|SargassoSea_READ_00159426	68995	100	3e-146	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Azospirillum; Unclassified; otu_2430
6|SargassoSea_READ_00270947	234175	99.25	4e-146	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
7|SargassoSea_READ_00127431	234175	99.26	2e-147	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
8|SargassoSea_READ_00050302	5645	95.56	1e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
9|SargassoSea_READ_00196278	230366	95.86	2e-123	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
10|SargassoSea_READ_00107128	55371	94.55	7e-120	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
11|SargassoSea_READ_00110149	177523	94.7	1e-114	Bacteria; Unclassified; otu_205
12|SargassoSea_READ_00127414	5645	95.49	3e-122	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
13|SargassoSea_READ_00103734	164914	96.34	5e-130	Bacteria; Proteobacteria; Alphaproteobacteria; Unclassified; otu_2092
14|SargassoSea_READ_00022697	138694	94.09	8e-107	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium; Unclassified; otu_2225
15|SargassoSea_READ_00239721	5645	95.85	4e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
16|SargassoSea_READ_00244582	5645	95.85	4e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
17|SargassoSea_READ_00250022	5645	95.85	4e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
18|SargassoSea_READ_00261371	5645	95.85	4e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
19|SargassoSea_READ_00273937	5645	95.85	4e-124	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
20|SargassoSea_READ_00267025	5645	94.22	4e-118	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseobacter; Unclassified; otu_2361
21|SargassoSea_READ_00083671	68994	99.61	8e-141	Bacteria; Unclassified; otu_205
22|SargassoSea_READ_00144324	68974	97.25	2e-126	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Candidatus Liberibacter; otu_2240
23|SargassoSea_READ_00220398	5685	95.44	3e-119	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Roseovarius; Unclassified; otu_2363
24|SargassoSea_READ_00207305	68994	98.19	6e-145	Bacteria; Unclassified; otu_205
25|SargassoSea_READ_00126630	68994	95.74	4e-118	Bacteria; Unclassified; otu_205
26|SargassoSea_READ_00240404	68992	98.95	4e-155	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Hoeflea; otu_2224
27|SargassoSea_READ_00041744	55371	94.81	3e-119	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Unclassified; otu_2291
28|SargassoSea_READ_00049474	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
29|SargassoSea_READ_00157996	92037	96.89	3e-125	Bacteria; Cyanobacteria; Prochlorales; Prochlorococcaceae; Prochlorococcus; Unclassified; otu_1291
