Sequence_id	Database_id	Percentage_identity	E-value	Classification
1|NCBI_READ_1112079357683	201939	83.77	1e-95	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Micrococcus; Unclassified; otu_444
2|NCBI_READ_1112076150966	111795	92.3	0.0	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter; Unclassified; otu_2884
3|NCBI_READ_1112079310579	79187	81.46	3e-37	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Unclassified; otu_2957
4|NCBI_READ_1112079438655	164866	89.01	2e-53	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter; Unclassified; otu_2102
5|NCBI_READ_1112076224692	200959	84.49	7e-122	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halogeometricum; otu_87
1|rev|NCBI_READ_1112076213769	42311	87.31	3e-180	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Shigella; Unclassified; otu_3203
2|rev|NCBI_READ_1112079451550	201556	84.21	1e-179	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium; Unclassified; otu_254
3|rev|NCBI_READ_1112079251306	201556	81.43	6e-89	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium; Unclassified; otu_254
4|rev|NCBI_READ_1112079446335	200959	83.78	1e-167	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halogeometricum; otu_87
5|rev|NCBI_READ_1112079328439	200959	91.8	1e-134	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halogeometricum; otu_87
